"country","date","month","year","value","min","based_value"
"Belgium",Jul 2021,"07","2021",1337.41767375494,820.534270797863,1.62993517925153
"Belgium",Aug 2021,"08","2021",1400.00987047623,820.534270797863,1.70621742479434
"Belgium",Sep 2021,"09","2021",1473.3936973794,820.534270797863,1.79565162579586
"Belgium",Oct 2021,"10","2021",1565.40332157032,820.534270797863,1.90778542381681
"Belgium",Nov 2021,"11","2021",1863.30327580297,820.534270797863,2.27084150183166
"Belgium",Dec 2021,"12","2021",2381.27334512173,820.534270797863,2.90210102108989
"Belize",Jan 2021,"01","2021",28.8239303256116,28.8239303256116,1
"Belize",Feb 2021,"02","2021",30.5565565486445,28.8239303256116,1.06011068592868
"Belize",Mar 2021,"03","2021",31.1315257169435,28.8239303256116,1.08005831839253
"Belize",Apr 2021,"04","2021",31.5354738976731,28.8239303256116,1.09407265218276
"Belize",May 2021,"05","2021",32.0175209802234,28.8239303256116,1.11079650202229
"Belize",Jun 2021,"06","2021",32.6827137735012,28.8239303256116,1.13387429834511
"Belize",Jul 2021,"07","2021",34.4491605760746,28.8239303256116,1.19515833499863
"Belize",Aug 2021,"08","2021",37.9740766271918,28.8239303256116,1.31744963987267
"Belize",Sep 2021,"09","2021",46.0177740444628,28.8239303256116,1.59651281156385
"Belize",Oct 2021,"10","2021",60.1180358894201,28.8239303256116,2.08569876523751
"Belize",Nov 2021,"11","2021",72.9562405741481,28.8239303256116,2.53109967134921
"Belize",Dec 2021,"12","2021",78.5982696604182,28.8239303256116,2.72684081499391
"Benin",Jan 2021,"01","2021",0.286935893083763,0.286935893083763,1
"Benin",Feb 2021,"02","2021",0.394494564411611,0.286935893083763,1.37485262011626
"Benin",Mar 2021,"03","2021",0.540946374050807,0.286935893083763,1.88525167847472
"Benin",Apr 2021,"04","2021",0.62461516617425,0.286935893083763,2.17684570397023
"Benin",May 2021,"05","2021",0.657835046175855,0.286935893083763,2.29262027523276
"Benin",Jun 2021,"06","2021",0.670488650491947,0.286935893083763,2.33671933924354
"Benin",Jul 2021,"07","2021",0.681857239532064,0.286935893083763,2.3763399977744
"Benin",Aug 2021,"08","2021",0.842405210348814,0.286935893083763,2.93586557364887
"Benin",Sep 2021,"09","2021",1.68063465322159,0.286935893083763,5.85717818415619
"Benin",Oct 2021,"10","2021",2.01590585309682,0.286935893083763,7.02563151452205
"Benin",Nov 2021,"11","2021",2.04790848091403,0.286935893083763,7.13716384138878
"Benin",Dec 2021,"12","2021",2.05413966970463,0.286935893083763,7.15888015134093
"Bhutan",Jan 2021,"01","2021",1.0574427093811,1.0574427093811,1
"Bhutan",Feb 2021,"02","2021",1.11931718458056,1.0574427093811,1.05851331202205
"Bhutan",Mar 2021,"03","2021",1.12596285647826,1.0574427093811,1.06479797580454
"Bhutan",Apr 2021,"04","2021",1.23853266494905,1.0574427093811,1.17125273450884
"Bhutan",May 2021,"05","2021",1.70526955466336,1.0574427093811,1.61263540760655
"Bhutan",Jun 2021,"06","2021",2.40345320359628,1.0574427093811,2.27289212197886
"Bhutan",Jul 2021,"07","2021",3.05368250431062,1.0574427093811,2.88779947813711
"Bhutan",Aug 2021,"08","2021",3.32717780773322,1.0574427093811,3.14643789040879
"Bhutan",Sep 2021,"09","2021",3.36602679412278,1.0574427093811,3.1831765108985
"Bhutan",Oct 2021,"10","2021",3.38884175951377,1.0574427093811,3.20475211512612
"Bhutan",Nov 2021,"11","2021",3.40607282762148,1.0574427093811,3.2210471521573
"Bhutan",Dec 2021,"12","2021",3.43658429031606,1.0574427093811,3.24990116233099
"Bolivia",Jan 2021,"01","2021",15.9684041872328,15.9684041872328,1
"Bolivia",Feb 2021,"02","2021",20.2044020818051,15.9684041872328,1.26527371457438
"Bolivia",Mar 2021,"03","2021",22.3655109624517,15.9684041872328,1.4006102739016
"Bolivia",Apr 2021,"04","2021",24.6138827091637,15.9684041872328,1.54141155375082
"Bolivia",May 2021,"05","2021",28.6381759237055,15.9684041872328,1.79342754528987
"Bolivia",Jun 2021,"06","2021",35.1296851342812,15.9684041872328,2.19994964571152
"Bolivia",Jul 2021,"07","2021",39.3195453852112,15.9684041872328,2.46233405193039
"Bolivia",Aug 2021,"08","2021",41.3620536377407,15.9684041872328,2.59024340521208
"Bolivia",Sep 2021,"09","2021",42.4847426776146,15.9684041872328,2.66055030793762
"Bolivia",Oct 2021,"10","2021",43.3962383188714,15.9684041872328,2.71763150594396
"Bolivia",Nov 2021,"11","2021",44.9829260254558,15.9684041872328,2.81699570589657
"Bolivia",Dec 2021,"12","2021",48.0669225310038,15.9684041872328,3.01012687100159
"Bosnia and Herzegovina",Jan 2021,"01","2021",35.712035163568,35.712035163568,1
"Bosnia and Herzegovina",Feb 2021,"02","2021",38.4845903925005,35.712035163568,1.07763643870291
"Bosnia and Herzegovina",Mar 2021,"03","2021",45.0740185377817,35.712035163568,1.2621520540998
"Bosnia and Herzegovina",Apr 2021,"04","2021",56.9281819710448,35.712035163568,1.59408954741176
"Bosnia and Herzegovina",May 2021,"05","2021",61.5548270780279,35.712035163568,1.72364377432132
"Bosnia and Herzegovina",Jun 2021,"06","2021",62.382223116309,35.712035163568,1.74681232336904
"Bosnia and Herzegovina",Jul 2021,"07","2021",62.5690223608384,35.712035163568,1.75204303183115
"Bosnia and Herzegovina",Aug 2021,"08","2021",63.5352653572064,35.712035163568,1.77909954070673
"Bosnia and Herzegovina",Sep 2021,"09","2021",68.3534731461542,35.712035163568,1.91401786073188
"Bosnia and Herzegovina",Oct 2021,"10","2021",74.4281822578212,35.712035163568,2.08412043494373
"Bosnia and Herzegovina",Nov 2021,"11","2021",80.8198267808456,35.712035163568,2.26309775991974
"Bosnia and Herzegovina",Dec 2021,"12","2021",86.36260866141,35.712035163568,2.41830543305227
"Botswana",Jan 2021,"01","2021",7.63067405345994,7.63067405345994,1
"Botswana",Feb 2021,"02","2021",10.8645845198229,7.63067405345994,1.42380403666916
"Botswana",Mar 2021,"03","2021",14.9155199818931,7.63067405345994,1.95467921672398
"Botswana",Apr 2021,"04","2021",18.6460426300962,7.63067405345994,2.44356429058081
"Botswana",May 2021,"05","2021",21.4505480938884,7.63067405345994,2.81109479236139
"Botswana",Jun 2021,"06","2021",26.3762292032105,7.63067405345994,3.45660540843713
"Botswana",Jul 2021,"07","2021",36.8588227426814,7.63067405345994,4.83034951885654
"Botswana",Aug 2021,"08","2021",58.6626200482508,7.63067405345994,7.68773762806074
"Botswana",Sep 2021,"09","2021",71.7488970392813,7.63067405345994,9.40269451120751
"Botswana",Oct 2021,"10","2021",77.7274876843912,7.63067405345994,10.1861889447561
"Botswana",Nov 2021,"11","2021",82.1697762185723,7.63067405345994,10.7683509533885
"Botswana",Dec 2021,"12","2021",85.934660829934,7.63067405345994,11.2617391632616
"Brazil",Jan 2021,"01","2021",2811.93634606919,2811.93634606919,1
"Brazil",Feb 2021,"02","2021",3296.05845838218,2811.93634606919,1.17216681060002
"Brazil",Mar 2021,"03","2021",3887.95931983166,2811.93634606919,1.38266263575512
"Brazil",Apr 2021,"04","2021",4589.73543975108,2811.93634606919,1.63223305042701
"Brazil",May 2021,"05","2021",5216.01654958751,2811.93634606919,1.85495541422159
"Brazil",Jun 2021,"06","2021",5875.84595992449,2811.93634606919,2.08960845366871
"Brazil",Jul 2021,"07","2021",6434.51550774585,2811.93634606919,2.28828633220687
"Brazil",Aug 2021,"08","2021",6799.92985351911,2811.93634606919,2.4182374764723
"Brazil",Sep 2021,"09","2021",7041.82698114612,2811.93634606919,2.50426258438955
"Brazil",Oct 2021,"10","2021",7215.80380735911,2811.93634606919,2.56613341103759
"Brazil",Nov 2021,"11","2021",7325.22430316086,2811.93634606919,2.60504627474971
"Brazil",Dec 2021,"12","2021",7403.87460950755,2811.93634606919,2.63301643362498
"Brunei",Jan 2021,"01","2021",0.396623706594903,0.396623706594903,1
"Brunei",Feb 2021,"02","2021",0.419036690731819,0.396623706594903,1.05650944147877
