"country","date","month","year","death_rate","min","based_dvalue"
"Belgium",Dec 2021,"12","2021",33.6336573946919,24.7000318116114,0.361684780457687
"Belize",Jan 2021,"01","2021",0.701673201365119,0.701673201365119,0
"Belize",Feb 2021,"02","2021",0.78287040746267,0.701673201365119,0.115719406041987
"Belize",Mar 2021,"03","2021",0.794645509003508,0.701673201365119,0.132500867152272
"Belize",Apr 2021,"04","2021",0.802187677880863,0.701673201365119,0.143249701314218
"Belize",May 2021,"05","2021",0.812655851320892,0.701673201365119,0.158168574401665
"Belize",Jun 2021,"06","2021",0.821972011873954,0.701673201365119,0.171445639187575
"Belize",Jul 2021,"07","2021",0.834641449374997,0.701673201365119,0.189501676494392
"Belize",Aug 2021,"08","2021",0.872609198044077,0.701673201365119,0.243611978263383
"Belize",Sep 2021,"09","2021",0.967504231416349,0.701673201365119,0.378853046594982
"Belize",Oct 2021,"10","2021",1.14187192845578,0.701673201365119,0.627355763672101
"Belize",Nov 2021,"11","2021",1.35941847471168,0.701673201365119,0.937395459976105
"Belize",Dec 2021,"12","2021",1.47968753840888,0.701673201365119,1.10879870505261
"Benin",Jan 2021,"01","2021",0.00381034347431237,0.00381034347431237,0
"Benin",Feb 2021,"02","2021",0.00504051347318941,0.00381034347431237,0.322850159616919
"Benin",Mar 2021,"03","2021",0.00685436088675186,0.00381034347431237,0.798882681564246
"Benin",Apr 2021,"04","2021",0.00784171525258159,0.00381034347431237,1.05800744878957
"Benin",May 2021,"05","2021",0.00829920481590802,0.00381034347431237,1.17807262569832
"Benin",Jun 2021,"06","2021",0.00847961074297392,0.00381034347431237,1.22541899441341
"Benin",Jul 2021,"07","2021",0.00875155006076354,0.00381034347431237,1.29678770949721
"Benin",Aug 2021,"08","2021",0.00965624055047457,0.00381034347431237,1.53421787709497
"Benin",Sep 2021,"09","2021",0.0119082990038327,0.00381034347431237,2.12525605214153
"Benin",Oct 2021,"10","2021",0.0132164637129257,0.00381034347431237,2.46857541899441
"Benin",Nov 2021,"11","2021",0.0132803242180817,0.00381034347431237,2.48533519553073
"Benin",Dec 2021,"12","2021",0.0132803242180817,0.00381034347431237,2.48533519553073
"Bhutan",Jan 2021,"01","2021",0.00100334565609023,0.00100334565609023,0
"Bhutan",Feb 2021,"02","2021",0.00129598813911655,0.00100334565609023,0.291666666666667
"Bhutan",Mar 2021,"03","2021",0.00129598813911655,0.00100334565609023,0.291666666666667
