Sserial,age,sex,married,children,highest_qual,income,party,voted,cc_threat
291964,35,2,1,1,1,5,1,1,1
291965,35,2,2,1,1,3,2,1,1
291969,35,1,2,1,2,2,5,2,1
291979,65,1,3,2,4,2,2,1,1
291987,45,2,1,2,3,3,1,1,0
291988,35,2,2,1,3,2,2,1,0
291991,65,1,1,2,4,2,5,2,0
291992,65,2,3,2,3,5,1,1,1
291994,45,1,4,2,2,4,2,2,1
291995,65,2,3,2,3,3,2,1,1
291997,25,2,4,2,2,1,5,2,1
291999,65,1,1,2,4,2,2,1,1
292002,25,2,1,1,1,1,2,2,1
292005,25,2,4,2,3,5,2,1,1
292007,25,1,4,2,3,3,1,1,0
292009,45,2,1,2,3,5,1,1,1
292013,65,1,1,2,3,5,2,1,1
292016,45,2,1,1,1,2,2,1,1
292017,65,1,1,2,2,4,4,1,1
292024,25,2,4,2,3,4,2,1,1
292027,65,1,1,1,4,4,2,1,1
292028,25,2,4,1,3,3,2,1,0
292029,35,2,1,1,3,1,1,1,1
292032,25,2,4,2,1,2,1,2,1
292036,65,2,2,2,2,4,2,1,1
292037,25,2,1,2,3,2,2,1,1
292038,65,1,3,2,2,5,1,1,1
292041,35,2,1,1,2,2,2,1,1
292042,35,2,1,1,3,2,5,2,1
292044,60,2,1,2,1,1,1,1,1
292045,55,1,1,2,3,5,2,1,0
292048,35,2,1,1,1,1,5,2,1
292050,65,1,2,2,4,4,2,1,1
292063,25,2,4,2,1,4,6,1,1
292064,65,1,1,2,3,4,1,1,1
292069,60,1,1,2,3,2,1,1,1
292072,18,2,4,2,1,4,2,1,1
292073,65,2,3,2,2,3,2,1,1
292074,65,1,1,2,2,4,2,1,1
292077,45,1,4,2,1,4,2,1,1
292078,45,2,2,2,2,4,2,2,1
292079,65,1,1,2,1,5,3,1,0
292082,55,1,2,2,1,5,1,1,1
292084,25,2,4,2,3,2,5,2,1
292087,65,1,1,2,4,4,1,1,0
292088,60,1,1,2,2,4,4,1,1
292089,65,1,2,2,4,1,1,1,1
292091,35,2,1,1,1,1,5,2,1
292094,35,2,1,1,4,1,2,1,1
292099,60,1,1,1,3,2,1,1,1
292100,60,1,4,2,3,2,1,2,1
292101,45,1,1,1,4,5,2,1,1
292103,45,2,1,2,1,5,4,2,1
