"country","date","month","year","covid_rate","death_rate"
"Chile",Jan 2021,"01","2021",1.566,0.041
"Chile",Jul 2021,"07","2021",3.743,0.08
"Chile",Jun 2021,"06","2021",3.486,0.073
"Chile",Mar 2021,"03","2021",2.127,0.051
"Chile",May 2021,"05","2021",3.027,0.065
"Chile",Nov 2021,"11","2021",4.063,0.089
"Chile",Oct 2021,"10","2021",3.926,0.088
"Chile",Sep 2021,"09","2021",3.867,0.088
"China",Apr 2021,"04","2021",0,0
"China",Aug 2021,"08","2021",0,0
"China",Dec 2021,"12","2021",0,0
"China",Feb 2021,"02","2021",0,0
"China",Jan 2021,"01","2021",0,0
"China",Jul 2021,"07","2021",0,0
"China",Jun 2021,"06","2021",0,0
"China",Mar 2021,"03","2021",0,0
"China",May 2021,"05","2021",0,0
"China",Nov 2021,"11","2021",0,0
"China",Oct 2021,"10","2021",0,0
"China",Sep 2021,"09","2021",0,0
"Colombia",Apr 2021,"04","2021",9.657,0.25
"Colombia",Aug 2021,"08","2021",17.938,0.455
"Colombia",Dec 2021,"12","2021",18.82,0.477
"Colombia",Feb 2021,"02","2021",8.08,0.212
"Colombia",Jan 2021,"01","2021",6.943,0.179
"Colombia",Jul 2021,"07","2021",16.876,0.423
"Colombia",Jun 2021,"06","2021",14.108,0.36
"Colombia",Mar 2021,"03","2021",8.548,0.227
"Colombia",May 2021,"05","2021",11.512,0.3
"Colombia",Nov 2021,"11","2021",18.567,0.472
"Colombia",Oct 2021,"10","2021",18.363,0.468
"Colombia",Sep 2021,"09","2021",18.197,0.464
"Comoros",Apr 2021,"04","2021",0.004,0
"Comoros",Aug 2021,"08","2021",0.005,0
"Comoros",Dec 2021,"12","2021",0.006,0
"Comoros",Feb 2021,"02","2021",0.004,0
"Comoros",Jan 2021,"01","2021",0.002,0
"Comoros",Jul 2021,"07","2021",0.005,0
"Comoros",Jun 2021,"06","2021",0.004,0
"Comoros",Mar 2021,"03","2021",0.004,0
"Comoros",May 2021,"05","2021",0.004,0
"Comoros",Nov 2021,"11","2021",0.005,0
"Comoros",Oct 2021,"10","2021",0.005,0
"Comoros",Sep 2021,"09","2021",0.005,0
"Congo (Brazzaville)",Apr 2021,"04","2021",0.002,0
"Congo (Brazzaville)",Aug 2021,"08","2021",0.002,0
"Congo (Brazzaville)",Dec 2021,"12","2021",0.003,0
"Congo (Brazzaville)",Feb 2021,"02","2021",0.002,0
"Congo (Brazzaville)",Jan 2021,"01","2021",0.001,0
"Congo (Brazzaville)",Jul 2021,"07","2021",0.002,0
"Congo (Brazzaville)",Jun 2021,"06","2021",0.002,0
"Congo (Brazzaville)",Mar 2021,"03","2021",0.002,0
"Congo (Brazzaville)",May 2021,"05","2021",0.002,0
"Congo (Brazzaville)",Nov 2021,"11","2021",0.003,0
"Congo (Brazzaville)",Oct 2021,"10","2021",0.003,0
"Congo (Brazzaville)",Sep 2021,"09","2021",0.003,0
"Congo (Kinshasa)",Apr 2021,"04","2021",0,0
"Congo (Kinshasa)",Aug 2021,"08","2021",0.001,0
"Congo (Kinshasa)",Dec 2021,"12","2021",0.001,0
"Congo (Kinshasa)",Feb 2021,"02","2021",0,0
"Congo (Kinshasa)",Jan 2021,"01","2021",0,0
"Congo (Kinshasa)",Jul 2021,"07","2021",0.001,0
"Congo (Kinshasa)",Jun 2021,"06","2021",0,0
"Congo (Kinshasa)",Mar 2021,"03","2021",0,0
"Congo (Kinshasa)",May 2021,"05","2021",0,0
"Congo (Kinshasa)",Nov 2021,"11","2021",0.001,0
"Congo (Kinshasa)",Oct 2021,"10","2021",0.001,0
"Congo (Kinshasa)",Sep 2021,"09","2021",0.001,0
"Costa Rica",Apr 2021,"04","2021",0.045,0.001
"Costa Rica",Aug 2021,"08","2021",0.085,0.001
"Costa Rica",Dec 2021,"12","2021",0.112,0.001
"Costa Rica",Feb 2021,"02","2021",0.039,0.001
"Costa Rica",Jan 2021,"01","2021",0.036,0
"Costa Rica",Jul 2021,"07","2021",0.076,0.001
"Costa Rica",Jun 2021,"06","2021",0.068,0.001
"Costa Rica",Mar 2021,"03","2021",0.041,0.001
"Costa Rica",May 2021,"05","2021",0.056,0.001
"Costa Rica",Nov 2021,"11","2021",0.111,0.001
"Costa Rica",Oct 2021,"10","2021",0.108,0.001
"Costa Rica",Sep 2021,"09","2021",0.098,0.001
"Cote d'Ivoire",Apr 2021,"04","2021",0.002,0
"Cote d'Ivoire",Aug 2021,"08","2021",0.002,0
