country,date,month,year,value1,value2,,initial_value,growth_rate
Brazil,01/07/2021,7,2021,6.434515508,6.434515508,0.095078998,2.811936346,1.288286332
Brazil,01/08/2021,8,2021,6.799929854,6.799929854,0.056789722,2.811936346,1.418237476
Brazil,01/09/2021,9,2021,7.041826981,7.041826981,0.035573474,2.811936346,1.504262584
Brazil,01/10/2021,10,2021,7.215803807,7.215803807,0.024706206,2.811936346,1.566133411
Brazil,01/11/2021,11,2021,7.325224303,7.325224303,0.015164006,2.811936346,1.605046275
Brazil,01/12/2021,12,2021,7.40387461,7.40387461,0.010736914,2.811936346,1.633016434
Brunei,01/01/2021,1,2021,0.000396624,0.000396624,-0.99994643,0.000396624,0
Brunei,01/02/2021,2,2021,0.000419037,0.000419037,0.056509441,0.000396624,0.056509441
Brunei,01/03/2021,3,2021,0.000453843,0.000453843,0.083061531,0.000396624,0.144264733
Brunei,01/04/2021,4,2021,0.000501962,0.000501962,0.10602762,0.000396624,0.265588399
