"month","country","value","date"
"04","Congo (Brazzaville)",0.002,2021-04-01
"05","Congo (Brazzaville)",0.002,2021-05-01
"06","Congo (Brazzaville)",0.002,2021-06-01
"07","Congo (Brazzaville)",0.002,2021-07-01
"08","Congo (Brazzaville)",0.002,2021-08-01
"09","Congo (Brazzaville)",0.003,2021-09-01
"10","Congo (Brazzaville)",0.003,2021-10-01
"11","Congo (Brazzaville)",0.003,2021-11-01
"12","Congo (Brazzaville)",0.003,2021-12-01
"01","Congo (Kinshasa)",0,2021-01-01
"02","Congo (Kinshasa)",0,2021-02-01
"03","Congo (Kinshasa)",0,2021-03-01
"04","Congo (Kinshasa)",0,2021-04-01
"05","Congo (Kinshasa)",0,2021-05-01
"06","Congo (Kinshasa)",0,2021-06-01
"07","Congo (Kinshasa)",0.001,2021-07-01
"08","Congo (Kinshasa)",0.001,2021-08-01
"09","Congo (Kinshasa)",0.001,2021-09-01
"10","Congo (Kinshasa)",0.001,2021-10-01
"11","Congo (Kinshasa)",0.001,2021-11-01
"12","Congo (Kinshasa)",0.001,2021-12-01
"01","Costa Rica",0.036,2021-01-01
"02","Costa Rica",0.039,2021-02-01
"03","Costa Rica",0.041,2021-03-01
"04","Costa Rica",0.045,2021-04-01
"05","Costa Rica",0.056,2021-05-01
"06","Costa Rica",0.068,2021-06-01
"07","Costa Rica",0.076,2021-07-01
"08","Costa Rica",0.085,2021-08-01
"09","Costa Rica",0.098,2021-09-01
"10","Costa Rica",0.108,2021-10-01
"11","Costa Rica",0.111,2021-11-01
"12","Costa Rica",0.112,2021-12-01
"01","Cote d'Ivoire",0.001,2021-01-01
"02","Cote d'Ivoire",0.001,2021-02-01
"03","Cote d'Ivoire",0.001,2021-03-01
"04","Cote d'Ivoire",0.002,2021-04-01
"05","Cote d'Ivoire",0.002,2021-05-01
"06","Cote d'Ivoire",0.002,2021-06-01
"07","Cote d'Ivoire",0.002,2021-07-01
"08","Cote d'Ivoire",0.002,2021-08-01
"09","Cote d'Ivoire",0.002,2021-09-01
"10","Cote d'Ivoire",0.002,2021-10-01
"11","Cote d'Ivoire",0.002,2021-11-01
"12","Cote d'Ivoire",0.002,2021-12-01
"01","Croatia",0.054,2021-01-01
"02","Croatia",0.058,2021-02-01
"03","Croatia",0.062,2021-03-01
"04","Croatia",0.074,2021-04-01
"05","Croatia",0.085,2021-05-01
"06","Croatia",0.087,2021-06-01
"07","Croatia",0.088,2021-07-01
"08","Croatia",0.09,2021-08-01
"09","Croatia",0.095,2021-09-01
"10","Croatia",0.105,2021-10-01
"11","Croatia",0.132,2021-11-01
"12","Croatia",0.162,2021-12-01
"01","Cuba",0.002,2021-01-01
"02","Cuba",0.003,2021-02-01
"03","Cuba",0.006,2021-03-01
