"month","year","country","value","date","log_value"
"09","2021","Barbados",22.1776031680302,Sep 2021,3.09908291332514
"10","2021","Barbados",44.7653314513856,Oct 2021,3.80143398831171
"11","2021","Barbados",77.3255942086478,Nov 2021,4.3480250031022
"12","2021","Barbados",93.8878493699445,Dec 2021,4.54210097816025
"01","2021","Belarus",23.5825819756546,Jan 2021,3.16050838765815
"02","2021","Belarus",28.4250053522364,Feb 2021,3.34726922792986
"03","2021","Belarus",32.2662371463584,Mar 2021,3.47402139394602
"04","2021","Belarus",36.0855522493803,Apr 2021,3.58589257053295
"05","2021","Belarus",39.8864330757119,May 2021,3.68603624290972
"06","2021","Belarus",43.0588892753952,Jun 2021,3.76256869679152
"07","2021","Belarus",45.7341002118975,Jul 2021,3.82284419496481
"08","2021","Belarus",48.9849840755412,Aug 2021,3.89151380370808
"09","2021","Belarus",53.9795610711076,Sep 2021,3.98860547623238
"10","2021","Belarus",60.3203471001403,Oct 2021,4.09966947799582
"11","2021","Belarus",66.623619481936,Nov 2021,4.19905916154992
"12","2021","Belarus",71.883741528846,Dec 2021,4.27505011299315
"01","2021","Belgium",820.534270797863,Jan 2021,6.7099556778454
"02","2021","Belgium",897.63172576415,Feb 2021,6.79975987924647
"03","2021","Belgium",994.079430390382,Mar 2021,6.90181711331343
"04","2021","Belgium",1139.77614142275,Apr 2021,7.03858715493296
"05","2021","Belgium",1249.55202893231,May 2021,7.13054038920986
"06","2021","Belgium",1304.85337282848,Jun 2021,7.17384595545832
"07","2021","Belgium",1337.41767375494,Jul 2021,7.19849592454298
"08","2021","Belgium",1400.00987047623,Aug 2021,7.24423456591866
"09","2021","Belgium",1473.3936973794,Sep 2021,7.29532365663634
"10","2021","Belgium",1565.40332157032,Oct 2021,7.3558987832353
"11","2021","Belgium",1863.30327580297,Nov 2021,7.53010614629707
"12","2021","Belgium",2381.27334512173,Dec 2021,7.77539064255262
"01","2021","Belize",28.8239303256116,Jan 2021,3.36120595620764
"02","2021","Belize",30.5565565486445,Feb 2021,3.41957927956758
"03","2021","Belize",31.1315257169435,Mar 2021,3.4382209943975
"04","2021","Belize",31.5354738976731,Apr 2021,3.45111306767586
"05","2021","Belize",32.0175209802234,May 2021,3.4662832835915
"06","2021","Belize",32.6827137735012,Jun 2021,3.48684630734892
"07","2021","Belize",34.4491605760746,Jul 2021,3.53948463072084
"08","2021","Belize",37.9740766271918,Aug 2021,3.63690373290489
"09","2021","Belize",46.0177740444628,Sep 2021,3.82902771412976
"10","2021","Belize",60.1180358894201,Oct 2021,4.09630989451444
"11","2021","Belize",72.9562405741481,Nov 2021,4.28985981722014
"12","2021","Belize",78.5982696604182,Dec 2021,4.36434968469434
"01","2021","Benin",0.286935893083763,Jan 2021,-1.24849645721922
"02","2021","Benin",0.394494564411611,Feb 2021,-0.930149917215438
"03","2021","Benin",0.540946374050807,Mar 2021,-0.614435128799557
"04","2021","Benin",0.62461516617425,Apr 2021,-0.47061955300904
"05","2021","Benin",0.657835046175855,May 2021,-0.418801068787084
"06","2021","Benin",0.670488650491947,Jun 2021,-0.399748503335886
"07","2021","Benin",0.681857239532064,Jul 2021,-0.382934969249781
"08","2021","Benin",0.842405210348814,Aug 2021,-0.171494133057076
"09","2021","Benin",1.68063465322159,Sep 2021,0.519171491852887
"10","2021","Benin",2.01590585309682,Oct 2021,0.70106864926588
