"country","date","month","year","covid_rate","death_rate"
"Chad",Nov 2021,"11","2021",0.311,0.011
"Chad",Oct 2021,"10","2021",0.308,0.011
"Chad",Sep 2021,"09","2021",0.306,0.011
"Chile",Apr 2021,"04","2021",2594.186,58.316
"Chile",Aug 2021,"08","2021",3827.189,85.391
"Chile",Dec 2021,"12","2021",4198.387,91.085
"Chile",Feb 2021,"02","2021",1825.383,45.879
"Chile",Jan 2021,"01","2021",1565.957,40.997
"Chile",Jul 2021,"07","2021",3743.105,80.377
"Chile",Jun 2021,"06","2021",3486.458,72.748
"Chile",Mar 2021,"03","2021",2126.818,51.264
"Chile",May 2021,"05","2021",3026.633,65.359
"Chile",Nov 2021,"11","2021",4063.136,89.334
"Chile",Oct 2021,"10","2021",3926.414,88.371
"Chile",Sep 2021,"09","2021",3867.283,87.555
"China",Apr 2021,"04","2021",0.293,0.013
"China",Aug 2021,"08","2021",0.309,0.013
"China",Dec 2021,"12","2021",0.332,0.013
"China",Feb 2021,"02","2021",0.287,0.013
"China",Jan 2021,"01","2021",0.278,0.013
"China",Jul 2021,"07","2021",0.302,0.013
"China",Jun 2021,"06","2021",0.299,0.013
"China",Mar 2021,"03","2021",0.29,0.013
"China",May 2021,"05","2021",0.296,0.013
"China",Nov 2021,"11","2021",0.325,0.013
"China",Oct 2021,"10","2021",0.319,0.013
"China",Sep 2021,"09","2021",0.314,0.013
"Colombia",Apr 2021,"04","2021",9656.832,250.149
"Colombia",Aug 2021,"08","2021",17937.831,454.895
"Colombia",Dec 2021,"12","2021",18820.194,476.738
"Colombia",Feb 2021,"02","2021",8079.997,211.838
"Colombia",Jan 2021,"01","2021",6943.408,178.552
"Colombia",Jul 2021,"07","2021",16875.999,423.269
"Colombia",Jun 2021,"06","2021",14108.164,359.578
"Colombia",Mar 2021,"03","2021",8547.654,226.746
"Colombia",May 2021,"05","2021",11512.436,299.831
"Colombia",Nov 2021,"11","2021",18567.241,471.546
"Colombia",Oct 2021,"10","2021",18363.28,467.6
"Colombia",Sep 2021,"09","2021",18197.074,463.604
"Comoros",Apr 2021,"04","2021",4.36,0.168
"Comoros",Aug 2021,"08","2021",4.648,0.169
"Comoros",Dec 2021,"12","2021",5.676,0.175
"Comoros",Feb 2021,"02","2021",3.792,0.146
"Comoros",Jan 2021,"01","2021",1.91,0.052
"Comoros",Jul 2021,"07","2021",4.596,0.168
"Comoros",Jun 2021,"06","2021",4.486,0.168
"Comoros",Mar 2021,"03","2021",4.187,0.168
"Comoros",May 2021,"05","2021",4.442,0.168
"Comoros",Nov 2021,"11","2021",5.053,0.171
"Comoros",Oct 2021,"10","2021",4.817,0.169
"Comoros",Sep 2021,"09","2021",4.718,0.169
"Congo (Brazzaville)",Apr 2021,"04","2021",1.837,0.025
"Congo (Brazzaville)",Aug 2021,"08","2021",2.424,0.033
"Congo (Brazzaville)",Dec 2021,"12","2021",3.5,0.066
"Congo (Brazzaville)",Feb 2021,"02","2021",1.518,0.022
"Congo (Brazzaville)",Jan 2021,"01","2021",1.359,0.02
"Congo (Brazzaville)",Jul 2021,"07","2021",2.344,0.031
"Congo (Brazzaville)",Jun 2021,"06","2021",2.209,0.029
"Congo (Brazzaville)",Mar 2021,"03","2021",1.701,0.024
"Congo (Brazzaville)",May 2021,"05","2021",2.054,0.027
"Congo (Brazzaville)",Nov 2021,"11","2021",3.332,0.058
"Congo (Brazzaville)",Oct 2021,"10","2021",2.845,0.041
"Congo (Brazzaville)",Sep 2021,"09","2021",2.504,0.034
"Congo (Kinshasa)",Apr 2021,"04","2021",0.323,0.008
"Congo (Kinshasa)",Aug 2021,"08","2021",0.591,0.012
"Congo (Kinshasa)",Dec 2021,"12","2021",0.719,0.013
"Congo (Kinshasa)",Feb 2021,"02","2021",0.272,0.008
"Congo (Kinshasa)",Jan 2021,"01","2021",0.228,0.007
"Congo (Kinshasa)",Jul 2021,"07","2021",0.509,0.011
"Congo (Kinshasa)",Jun 2021,"06","2021",0.404,0.01
"Congo (Kinshasa)",Mar 2021,"03","2021",0.303,0.008
"Congo (Kinshasa)",May 2021,"05","2021",0.342,0.009
"Congo (Kinshasa)",Nov 2021,"11","2021",0.646,0.012
"Congo (Kinshasa)",Oct 2021,"10","2021",0.639,0.012
"Congo (Kinshasa)",Sep 2021,"09","2021",0.627,0.012
"Costa Rica",Apr 2021,"04","2021",44.973,0.603
"Costa Rica",Aug 2021,"08","2021",85.062,1.032
"Costa Rica",Dec 2021,"12","2021",111.595,1.44
"Costa Rica",Feb 2021,"02","2021",39.22,0.535
"Costa Rica",Jan 2021,"01","2021",35.975,0.474
"Costa Rica",Jul 2021,"07","2021",76.24,0.953
"Costa Rica",Jun 2021,"06","2021",67.784,0.863
